NOME_NAVIO;MES_ANO_ABERTURA;CLASSIFICACAO_RISCO;INDICE_CONFORMIDADE;PONTUACAO_RISCO;TEMPORADA
HORIZON (PACIFIC DRE;12/2010;C;90,76;310;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Dezembro 2010
SPLENDOUR OF THE SEA;12/2012;C;91,71;415;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
AZAMARA JOURNEY;02/2012;A;97,98;80;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
BOUDICCA;01/2013;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Janeiro 2013
NATIONAL GEOGRAPHIC ;10/2014;A;97,43;125;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Outubro 2014
COSTA PACIFICA;11/2019;A;98,20;90;Programa de Inspecao Navios de Cruzeiro 2019/2020 - Novembro 2019
SEVEN SEAS MARINER;03/2016;C;92,70;365;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Marco 2016 
SPLENDOUR OF THE SEA;03/2013;A;99,40;30;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
SOVEREIGN (SOBERANO);10/2015;A;98,65;65;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Dezembro 2015
SOVEREIGN (SOBERANO);12/2016;A;97,60;120;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Dezembro 2016
COSTA LUMINOSA;01/2017;A;79,17;125;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Janeiro 2017
REGATTA;02/2017;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Fevereiro 2017
OCEAN DREAM;01/2014;D;85,56;715;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Janeiro 2014
SEABOURN ODYSSEY;02/2011;D;77,05;770;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Fevereiro 2011
RHAPSODY OF THE SEAS;01/2016;A;98,20;54;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Dezembro 2015
MSC PREZIOSA;01/2015;A;99,19;40;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Janeiro 2015
SEABOURN QUEST;11/2016;A;98,85;55;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Novembro 2016
VOYAGER;03/2013;D;88,01;600;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
ORIENT QUEEN II;12/2013;D;63,89;1065;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
ZAANDAM;11/2018;B;95,76;210;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Novembro 2018
VIKING SUN;11/2019;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2019/2020 - Novembro 2019
MAASDAM;02/2015;A;99,10;45;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Fevereiro 2015
QUEEN VICTORIA;02/2017;B;95,90;205;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Fevereiro 2017
AIDA CARA;11/2012;B;94,56;260;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Novembro 2012
VISION OF THE SEAS;03/2011;C;89,27;360;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Marco 2011
DELPHIN;12/2013;B;94,94;225;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
AMERA (PRINSENDAM);12/2012;A;98,82;60;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
SOVEREIGN (SOBERANO);03/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Marco 2012
COSTA FAVOLOSA;12/2013;A;99,09;45;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
ZENITH;12/2012;B;94,88;255;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
CRYSTAL SYMPHONY;02/2011;D;81,67;615;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Fevereiro 2011
NORWEGIAN SUN;04/2017;B;96,56;170;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Abril 2017
MSC MAGNIFICA;11/2012;B;95,95;205;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Novembro 2012
MSC ORCHESTRA;11/2010;D;85,39;490;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Novembro 2010
