Account,Revenue,Employees
Acme Corporation,1100.04,2822
Betasoloin,251.41,495
Betatech,647.18,1185
Bioholding,587.34,1356
Bioplex,326.82,1016
Blackzim,497.11,1588
Bluth Company,1242.32,3027
Bubba Gump,987.39,2253
Cancity,718.62,2448
Cheers,4269.9,6472
Codehow,2714.9,2641
Condax,4.54,9
Conecom,1520.66,1806
Dalttechnology,98.79,96
dambase,2173.98,2928
Domzoom,217.87,551
Doncon,587.72,1501
Donquadtech,1712.68,3194
Dontechi,4618,10083
Donware,1197.44,2570
Fasehatice,4968.91,7523
Faxquote,1825.82,5595
Finhigh,1102.43,1759
Finjob,2059.9,3644
Funholding,2819.5,7227
Ganjaflex,5158.71,17479
Gekko & Co,2520.83,3502
Genco Pura Olive Oil Company,894.33,1635
Globex Corporation,1223.72,2497
Gogozoom,86.68,187
Golddex,52.5,165
Goodsilron,2952.73,5107
Green-Plus,692.19,1922
Groovestreet,223.8,299
Hatfan,792.46,1299
Hottechi,8170.38,16499
Initech,6395.05,20275
Inity,2403.58,8801
Isdom,3178.24,4540
Iselectrics,527.11,1428
J-Texon,1388.67,3583
Kan-code,11698.03,34288
Kinnamplus,702.72,1831
Konex,7708.38,13756
Konmatfix,375.43,1190
Labdrill,2741.37,9226
Lexiqvolax,1618.89,3889
Massive Dynamic,665.06,1095
Mathtouch,3027.46,9516
Nam-zim,405.59,1179
Newex,1012.72,3492
Ontomedia,882.12,2769
Opentech,355.23,853
Plexzap,2437.85,4874
Plusstrip,349.81,315
Plussunin,1419.98,4018
Rangreen,2938.67,8775
Rantouch,1188.42,3015
Ron-tech,3922.42,6837
Rundofase,1008.06,1238
Scotfind,6354.87,16780
Scottech,45.39,100
Silis,2818.38,6290
Singletechno,2214.94,5374
Sonron,1699.85,5108
Stanredtax,1698.2,3798
Statholdings,291.27,586
Sterling Cooper,3814.15,10436
Streethex,1376.8,1165
Sumace,167.89,493
Sunnamplex,894.37,1593
The New York Inquirer,439.21,792
Toughzap,332.43,799
Treequote,5266.09,8595
Umbrella Corporation,2022.14,5113
Vehement Capital Partners,646.1,883
Warephase,2041.73,5276
Xx-holding,7537.24,20293
Xx-zobam,3838.39,8274
Y-corporation,2871.35,9561
Yearin,2261.05,3851
Zathunicon,71.12,144
Zencorporation,40.79,142
Zoomit,324.19,978
Zotware,4478.47,13809
Zumgoity,441.08,1210
Dapper Baby Bumpers,0,37
Go Go Espresso,0,221
Revolution Spanners,0,145
Time Out Electrical,0,67
World Robots,0,32
Toasters R Us,0,459
Calamity Mixers,0,296
AWOLEX,0,1031
Temp Solutions,0,226
