Account,Revenue,Employees,Office Location
Ganjaflex,5158.71,17479,Japan
Genco Pura Olive Oil Company,894.33,1635,Italy
Globex Corporation,1223.72,2497,Norway
Betatech,647.18,1185,Kenya
Bioholding,587.34,1356,Philipines
Hottechi,8170.38,16499,Korea
Streethex,1376.8,1165,Belgium
Sumace,167.89,493,Romania
Zencorporation,40.79,142,China
Sunnamplex,894.37,1593,Poland
Rangreen,2938.67,8775,Panama
Nam-zim,405.59,1179,Brazil
Newex,1012.72,3492,Germany
Mathtouch,3027.46,9516,Jordan
Compagnie Ultime,22780,258,France
Zeiss Bank,123996,154,Switzerland
